env_id,N,baseline_reward_mean,baseline_reward_std,shaped_reward_mean,shaped_reward_std,reward_pct_improvement,reward_W,reward_Z,reward_p,reward_r,reward_sig,reward_effect_label,baseline_goal_mean,baseline_goal_std,shaped_goal_mean,shaped_goal_std,goal_pct_improvement,goal_W,goal_Z,goal_p,goal_r,goal_sig,goal_effect_label
MiniGrid-DoorKey-10x10-v0,3,-10.0,0.0,-3.5799,5.5699,64.2,0.0,0.6745,0.5,0.3894,ns,Medium,0.0,0.0,0.57,0.4943,0.0,0.0,0.6745,0.5,0.3894,ns,Medium
MiniGrid-Empty-Random-10x10-v0,3,-0.8467,2.0609,-0.7378,2.8253,12.87,3.0,0.0,1.0,0.0,ns,Negligible,0.5867,0.5006,0.6667,0.5774,13.64,1.0,0.0,1.0,0.0,ns,Negligible
