global_step,epsilon,td_loss,q_value,stuck_rate,mean_penalty
78000,0.05,0.002779582515358925,0.5807772278785706,0.103,-0.00103
79000,0.05,9.45946085266769e-05,0.581113874912262,0.389,-0.0038900000000000002
80000,0.05,0.0001493934978498146,0.5872589945793152,0.219,-0.0021900000000000005
81000,0.05,9.510134987067431e-05,0.5998269319534302,0.146,-0.00146
82000,0.05,0.0002522051509004086,0.6019753217697144,0.173,-0.0017300000000000002
83000,0.05,0.00021335887140594423,0.6141778230667114,0.14,-0.0014000000000000002
84000,0.05,0.0019281134009361267,0.6271750926971436,0.084,-0.00084
85000,0.05,0.0002641074825078249,0.6265488862991333,0.052,-0.0005200000000000001
86000,0.05,0.0004689081397373229,0.631624698638916,0.06,-0.0006000000000000001
87000,0.05,0.000518649467267096,0.6323347687721252,0.027,-0.00027
88000,0.05,0.00021985743660479784,0.6344867944717407,0.002,-2e-05
89000,0.05,0.00020532893540803343,0.6508997678756714,0.101,-0.0010100000000000003
90000,0.05,0.00016924666124396026,0.6549416780471802,0.046,-0.00046000000000000007
91000,0.05,0.0006116973236203194,0.6524701118469238,0.099,-0.00099
92000,0.05,0.0017066692234948277,0.663079559803009,0.094,-0.00094
93000,0.05,0.0006869107019156218,0.6650000214576721,0.054,-0.00054
94000,0.05,0.004052681382745504,0.6620428562164307,0.021,-0.00021
95000,0.05,0.006261103320866823,0.668630063533783,0.027,-0.00027
96000,0.05,0.00031619140645489097,0.6777949333190918,0.016,-0.00016000000000000004
97000,0.05,0.0036322243977338076,0.6685066223144531,0.01,-0.0001
98000,0.05,0.00045265673543326557,0.676361620426178,0.103,-0.0010300000000000003
99000,0.05,0.000614894088357687,0.6663764119148254,0.008,-8e-05
