env_id,seed,baseline_mean_reward,rs_ddqn_mean_reward,reward_diff,baseline_goal_rate,rs_ddqn_goal_rate,goal_rate_diff,baseline_eval_episodes,rs_ddqn_eval_episodes
MiniGrid-DoorKey-8x8-v0,1,0.78225499092559,0.783425464431355,0.0011704735057649351,0.9877495462794919,0.9886724059809696,0.0009228597014777629,2204,2207
MiniGrid-DoorKey-8x8-v0,2,-6.399999999999908,0.7672378640776697,7.167237864077578,0.0,0.9922330097087378,0.9922330097087378,79,2060
MiniGrid-DoorKey-8x8-v0,3,-6.399999999999908,0.8214386617100373,7.2214386617099455,0.0,0.9947955390334573,0.9947955390334573,79,2690
MiniGrid-DoorKey-8x8-v0,4,-6.399999999999908,0.760635892604806,7.160635892604714,0.0,0.9783325482807348,0.9783325482807348,79,2123
MiniGrid-DoorKey-8x8-v0,5,0.7945612547689705,0.8360775566231985,0.041516301854227944,0.9847392963119966,0.9945092656142759,0.009769969302279247,2359,2914
MiniGrid-DoorKey-8x8-v0,6,0.8681197537772808,0.8873525109702588,0.01923275719297801,0.9932848349188584,0.9973183812774257,0.00403354635856723,3574,4102
MiniGrid-DoorKey-8x8-v0,7,0.7809347048300541,0.8276920289855072,0.046757324155453084,0.9852415026833632,0.9956521739130435,0.010410671229680313,2236,2760
MiniGrid-DoorKey-8x8-v0,8,-6.399999999999908,0.6666217127444377,7.066621712744346,0.0,0.9763991908293999,0.9763991908293999,79,1483
MiniGrid-DoorKey-8x8-v0,9,0.8320798319327732,0.7482675222112549,-0.08381230972151832,0.9919467787114846,0.9817374136229022,-0.01020936508858239,2856,2026
MiniGrid-DoorKey-8x8-v0,10,-6.399999999999908,0.8905567451820131,7.290556745181921,0.0,0.9983345229597906,0.9983345229597906,79,4203
