env_id,seed,baseline_mean_reward,rs_ddqn_mean_reward,reward_diff,baseline_goal_rate,rs_ddqn_goal_rate,goal_rate_diff,baseline_eval_episodes,rs_ddqn_eval_episodes
MiniGrid-Empty-Random-8x8-v0,1,0.9200610376398777,0.9323561643835614,0.012295126743683715,0.9947439810105121,0.997869101978691,0.0031251209681789627,5898,6570
MiniGrid-Empty-Random-8x8-v0,2,0.9535197187740309,-1.711983471074373,-2.665503189848404,0.9982423376908711,0.1652892561983471,-0.832953081492524,9103,242
MiniGrid-Empty-Random-8x8-v0,3,0.8977872531418314,0.8966893269884435,-0.0010979261533878848,0.999326750448833,0.9993201903467029,-6.560102130070966e-06,4456,4413
MiniGrid-Empty-Random-8x8-v0,4,0.944877514182568,0.9441543065313556,-0.0007232076512124763,0.9983238782877772,0.9983086130627115,-1.526522506578587e-05,7756,7686
MiniGrid-Empty-Random-8x8-v0,5,0.9998606858232109,0.9997537681248339,-0.00010691769837700704,1.0,0.9999795488475776,-2.0451152422440444e-05,49313,48897
MiniGrid-Empty-Random-8x8-v0,6,0.9389873597500351,0.9388835158583413,-0.00010384389169382224,0.9998579747195001,1.0,0.00014202528049989116,7041,7031
MiniGrid-Empty-Random-8x8-v0,7,0.9790487053020964,0.9783683715092565,-0.0006803337928399378,0.9998766954377312,0.9996862252902416,-0.00019047014748951874,16220,15935
MiniGrid-Empty-Random-8x8-v0,8,0.9488191476370738,0.9476357550210758,-0.0011833926159979802,0.9998778849676395,0.9995040912472105,-0.0003737937204290054,8189,8066
MiniGrid-Empty-Random-8x8-v0,9,0.9694583637395606,0.9625563155494758,-0.006902048190084775,1.0,0.9979024167806657,-0.002097583219334287,12333,10965
MiniGrid-Empty-Random-8x8-v0,10,0.8983839285714287,0.8974521719558858,-0.0009317566155429002,1.0,0.9997749268512266,-0.00022507314877340256,4480,4443
