env_id,seed,baseline_mean_reward,rs_ddqn_mean_reward,reward_diff,baseline_goal_rate,rs_ddqn_goal_rate,goal_rate_diff,baseline_eval_episodes,rs_ddqn_eval_episodes
MiniGrid-DoorKey-6x6-v0,1,0.8731942544459645,0.8783881578947369,0.005193903448772352,0.9979480164158687,1.0,0.0020519835841312783,1462,1520
MiniGrid-DoorKey-6x6-v0,2,0.8084995159728946,0.8428905597326651,0.034391043759770534,0.9835430784123911,0.9924812030075187,0.008938124595127661,1033,1197
MiniGrid-DoorKey-6x6-v0,3,0.856817496229261,0.8580751879699248,0.0012576917406638133,0.9962292609351433,0.9984962406015038,0.002266979666360469,1326,1330
MiniGrid-DoorKey-6x6-v0,4,0.8837978656622725,0.8852930174563592,0.0014951517940867687,0.9993722536095417,0.9993765586034913,4.304993949544311e-06,1593,1604
MiniGrid-DoorKey-6x6-v0,5,0.8971710897797857,0.8987430478309235,0.0015719580511378561,1.0,1.0,0.0,1771,1798
MiniGrid-DoorKey-6x6-v0,6,0.7955816326530614,0.8436378600823045,0.04805622742924309,0.9806122448979592,0.9925925925925926,0.011980347694633409,980,1215
MiniGrid-DoorKey-6x6-v0,7,0.870643431635389,0.8798269230769233,0.009183491441534297,0.9939678284182306,0.9942307692307693,0.00026294081253863677,1492,1560
MiniGrid-DoorKey-6x6-v0,8,0.8998289684660611,0.9167006960556846,0.01687172758962352,0.9957242116515232,0.9995359628770302,0.003811751225506921,1871,2155
MiniGrid-DoorKey-6x6-v0,9,0.8921331761932826,0.8942429476108233,0.0021097714175407623,0.9976428992339422,0.9988485895221646,0.001205690288222372,1697,1737
MiniGrid-DoorKey-6x6-v0,10,0.8659603554340398,0.9041842105263158,0.03822385509227599,0.9863294600136705,0.9994736842105263,0.013144224196855792,1463,1900
