global_step,episodic_return,episodic_length,goal_reached,epsilon
11100,0.81015625,54,1,0.4141666666666667
11140,0.859375,40,1,0.4120555555555556
11249,0.6167968749999999,109,1,0.4063027777777778
11372,0.567578125,123,1,0.3998111111111111
11480,0.6203125,108,1,0.3941111111111111
11665,0.349609375,185,1,0.3843472222222223
11788,0.567578125,123,1,0.3778555555555556
11904,0.5921875,116,1,0.37173333333333336
12015,0.609765625,111,1,0.36587500000000006
12079,0.775,64,1,0.36249722222222225
12144,0.771484375,65,1,0.35906666666666665
12157,0.954296875,13,1,0.3583805555555556
12204,0.834765625,47,1,0.3559
12225,0.926171875,21,1,0.3547916666666667
12238,0.954296875,13,1,0.35410555555555556
12335,0.658984375,97,1,0.3489861111111111
12530,0.314453125,195,1,0.3386944444444444
12558,0.9015625,28,1,0.3372166666666667
12630,0.746875,72,1,0.3334166666666667
12660,0.89453125,30,1,0.3318333333333333
12673,0.954296875,13,1,0.33114722222222226
12702,0.898046875,29,1,0.32961666666666667
12750,0.83125,48,1,0.3270833333333334
12776,0.90859375,26,1,0.3257111111111112
12798,0.92265625,22,1,0.32455
12899,0.644921875,101,1,0.3192194444444445
12925,0.90859375,26,1,0.3178472222222223
12953,0.9015625,28,1,0.3163694444444445
12968,0.947265625,15,1,0.31557777777777773
13011,0.848828125,43,1,0.3133083333333333
13049,0.86640625,38,1,0.3113027777777778
13079,0.89453125,30,1,0.30971944444444444
13126,0.834765625,47,1,0.30723888888888895
13142,0.94375,16,1,0.3063944444444444
13160,0.93671875,18,1,0.3054444444444444
13207,0.834765625,47,1,0.3029638888888889
13227,0.9296875,20,1,0.30190833333333333
13261,0.88046875,34,1,0.3001138888888889
13278,0.940234375,17,1,0.2992166666666667
13293,0.947265625,15,1,0.29842500000000005
13304,0.961328125,11,1,0.29784444444444447
13338,0.88046875,34,1,0.29605000000000004
13377,0.862890625,39,1,0.29399166666666665
13425,0.83125,48,1,0.2914583333333334
13438,0.954296875,13,1,0.2907722222222222
13452,0.95078125,14,1,0.29003333333333337
13470,0.93671875,18,1,0.28908333333333336
13491,0.926171875,21,1,0.287975
13533,0.85234375,42,1,0.28575833333333334
13568,0.876953125,35,1,0.2839111111111111
13579,0.961328125,11,1,0.28333055555555553
13599,0.9296875,20,1,0.28227500000000005
13621,0.92265625,22,1,0.2811138888888889
13693,0.746875,72,1,0.27731388888888886
13743,0.82421875,50,1,0.274675
13767,0.915625,24,1,0.27340833333333336
13782,0.947265625,15,1,0.27261666666666673
13801,0.933203125,19,1,0.27161388888888893
13831,0.89453125,30,1,0.27003055555555555
13882,0.820703125,51,1,0.2673388888888889
13936,0.81015625,54,1,0.2644888888888889
13969,0.883984375,33,1,0.26274722222222224
13980,0.961328125,11,1,0.26216666666666666
13997,0.940234375,17,1,0.26126944444444444
14011,0.95078125,14,1,0.2605305555555556
14028,0.940234375,17,1,0.2596333333333334
14042,0.95078125,14,1,0.2588944444444444
14156,0.5992187499999999,114,1,0.25287777777777776
14175,0.933203125,19,1,0.25187499999999996
14210,0.876953125,35,1,0.25002777777777774
14235,0.912109375,25,1,0.2487083333333333
14248,0.954296875,13,1,0.24802222222222226
14283,0.876953125,35,1,0.24617500000000003
14305,0.92265625,22,1,0.24501388888888886
14366,0.785546875,61,1,0.24179444444444442
14400,0.88046875,34,1,0.24
14418,0.93671875,18,1,0.23904999999999998
14457,0.862890625,39,1,0.2369916666666667
14522,0.771484375,65,1,0.2335611111111111
14540,0.93671875,18,1,0.2326111111111111
14569,0.898046875,29,1,0.23108055555555562
14588,0.933203125,19,1,0.23007777777777783
14601,0.954296875,13,1,0.22939166666666666
14642,0.855859375,41,1,0.2272277777777778
14774,0.5359375,132,1,0.22026111111111113
14892,0.58515625,118,1,0.2140333333333333
14965,0.743359375,73,1,0.2101805555555556
14984,0.933203125,19,1,0.2091777777777778
15017,0.883984375,33,1,0.20743611111111115
15030,0.954296875,13,1,0.20675
15045,0.947265625,15,1,0.20595833333333335
15090,0.841796875,45,1,0.20358333333333334
15105,0.947265625,15,1,0.2027916666666667
15184,0.7222656249999999,79,1,0.19862222222222226
15201,0.940234375,17,1,0.19772500000000004
15228,0.905078125,27,1,0.19630000000000003
15395,0.41289062499999996,167,1,0.18748611111111113
15412,0.940234375,17,1,0.18658888888888892
15425,0.954296875,13,1,0.18590277777777775
15488,0.778515625,63,1,0.18257777777777784
15744,0.0,256,0,0.1690666666666667
16000,0.0,256,0,0.15555555555555556
16032,0.8875,32,1,0.1538666666666667
16051,0.933203125,19,1,0.1528638888888889
16084,0.883984375,33,1,0.15112222222222227
16136,0.8171875,52,1,0.14837777777777783
16251,0.595703125,115,1,0.14230833333333337
16430,0.370703125,179,1,0.1328611111111111
16686,0.0,256,0,0.11935000000000007
16836,0.47265625,150,1,0.11143333333333338
17018,0.36015624999999996,182,1,0.10182777777777774
17049,0.891015625,31,1,0.10019166666666668
17305,0.0,256,0,0.08668055555555554
17426,0.574609375,121,1,0.08029444444444445
17682,0.0,256,0,0.0667833333333333
17901,0.23007812500000002,219,1,0.05522499999999997
17968,0.764453125,67,1,0.051688888888888895
18023,0.806640625,55,1,0.05
18054,0.891015625,31,1,0.05
18310,0.0,256,0,0.05
18566,0.0,256,0,0.05
18822,0.0,256,0,0.05
19078,0.0,256,0,0.05
19334,0.0,256,0,0.05
19589,0.103515625,255,1,0.05
19845,0.0,256,0,0.05
20101,0.0,256,0,0.05
20357,0.0,256,0,0.05
20613,0.0,256,0,0.05
20869,0.0,256,0,0.05
21125,0.0,256,0,0.05
21381,0.0,256,0,0.05
21637,0.0,256,0,0.05
21893,0.0,256,0,0.05
22072,0.370703125,179,1,0.05
22258,0.34609375,186,1,0.05
22514,0.0,256,0,0.05
22770,0.0,256,0,0.05
22961,0.328515625,191,1,0.05
23217,0.0,256,0,0.05
23473,0.0,256,0,0.05
23542,0.757421875,69,1,0.05
23798,0.0,256,0,0.05
24026,0.19843749999999993,228,1,0.05
24282,0.0,256,0,0.05
24321,0.862890625,39,1,0.05
24577,0.0,256,0,0.05
24833,0.0,256,0,0.05
25089,0.0,256,0,0.05
25182,0.673046875,93,1,0.05
25438,0.0,256,0,0.05
25694,0.0,256,0,0.05
25950,0.0,256,0,0.05
26206,0.0,256,0,0.05
26462,0.0,256,0,0.05
26718,0.0,256,0,0.05
26974,0.0,256,0,0.05
27230,0.0,256,0,0.05
27486,0.0,256,0,0.05
27742,0.0,256,0,0.05
27998,0.0,256,0,0.05
28254,0.0,256,0,0.05
28510,0.0,256,0,0.05
28766,0.0,256,0,0.05
29022,0.0,256,0,0.05
29260,0.16328124999999993,238,1,0.05
29516,0.0,256,0,0.05
29772,0.0,256,0,0.05
