env_id,seed,baseline_mean_reward,rs_ddqn_mean_reward,reward_diff,baseline_goal_rate,rs_ddqn_goal_rate,goal_rate_diff,baseline_eval_episodes,rs_ddqn_eval_episodes
MiniGrid-Empty-Random-10x10-v0,1,-0.6085867895545256,0.9085308441558441,1.5171176337103698,0.423963133640553,1.0,0.5760368663594471,651,9856
MiniGrid-Empty-Random-10x10-v0,2,-0.16569334836527227,0.9285419890852812,1.0942353374505536,0.6020293122886133,0.9998370937525454,0.39780778146393203,887,12277
MiniGrid-Empty-Random-10x10-v0,3,-0.1136612021857895,0.849711492226318,0.9633726944121075,0.6076502732240437,0.9998397179035102,0.3921894446794665,915,6239
