global_step,epsilon,td_loss,q_value,stuck_rate,mean_penalty
0,1.0,nan,nan,0.0,0.0
1000,0.9841666666666666,nan,nan,0.103,0.0
2000,0.9683333333333334,nan,nan,0.122,0.0
3000,0.9525,nan,nan,0.12,0.0
4000,0.9366666666666666,nan,nan,0.108,0.0
5000,0.9208333333333334,nan,nan,0.097,0.0
6000,0.905,2.0932251572958194e-05,0.04311493784189224,0.124,0.0
7000,0.8891666666666667,1.4725296750839334e-05,0.047884754836559296,0.138,0.0
8000,0.8733333333333333,0.0048594302497804165,0.050222091376781464,0.164,0.0
9000,0.8575,6.685223343083635e-05,0.05807332322001457,0.157,0.0
10000,0.8416666666666667,9.58915043156594e-05,0.06382980197668076,0.136,0.0
11000,0.8258333333333333,0.00011549227201612666,0.06918786466121674,0.127,0.0
12000,0.81,0.00046842367737554014,0.07407176494598389,0.122,0.0
13000,0.7941666666666667,0.00010255941015202552,0.0813363790512085,0.161,0.0
14000,0.7783333333333333,0.0007243311265483499,0.08702631294727325,0.135,0.0
15000,0.7625,0.0010994919575750828,0.09631076455116272,0.136,0.0
16000,0.7466666666666666,0.002162351505830884,0.10312870889902115,0.078,0.0
17000,0.7308333333333333,0.000260782428085804,0.12564565241336823,0.105,0.0
18000,0.7150000000000001,0.00468821544200182,0.13948208093643188,0.054,0.0
19000,0.6991666666666667,0.0024347754660993814,0.16463883221149445,0.065,0.0
20000,0.6833333333333333,0.0029135928489267826,0.1892736852169037,0.068,0.0
21000,0.6675,0.0019115537870675325,0.23889689147472382,0.096,0.0
22000,0.6516666666666666,0.003056693822145462,0.26947054266929626,0.094,0.0
23000,0.6358333333333334,0.002216413849964738,0.3077242076396942,0.073,0.0
24000,0.62,0.0029917540960013866,0.3455211818218231,0.076,0.0
25000,0.6041666666666667,0.004348947200924158,0.37266895174980164,0.07,0.0
26000,0.5883333333333334,0.002327586291357875,0.40587636828422546,0.093,0.0
27000,0.5725,0.0035433759912848473,0.43052709102630615,0.107,0.0
28000,0.5566666666666666,0.005775358062237501,0.44010236859321594,0.141,0.0
29000,0.5408333333333333,0.0034285292495042086,0.46242526173591614,0.147,0.0
30000,0.525,0.0014332388527691364,0.46575576066970825,0.105,0.0
31000,0.5091666666666667,0.002638980746269226,0.49434250593185425,0.153,0.0
32000,0.4933333333333333,0.0014010652666911483,0.5097379088401794,0.106,0.0
33000,0.47750000000000004,0.0011374480091035366,0.5226879119873047,0.105,0.0
34000,0.46166666666666667,0.0006904687033966184,0.5230369567871094,0.116,0.0
35000,0.4458333333333333,0.0035047968849539757,0.5407001376152039,0.049,0.0
36000,0.43000000000000005,0.0013114275643602014,0.5451380014419556,0.07,0.0
37000,0.4141666666666667,0.001108229043893516,0.5529899597167969,0.056,0.0
38000,0.3983333333333333,0.0032655764371156693,0.5633062720298767,0.062,0.0
39000,0.38250000000000006,0.001048856065608561,0.5685807466506958,0.096,0.0
40000,0.3666666666666667,0.0006230926956050098,0.5751866102218628,0.066,0.0
41000,0.35083333333333333,0.0012693034950643778,0.5722827315330505,0.07,0.0
42000,0.33499999999999996,0.0009415889508090913,0.5849684476852417,0.041,0.0
43000,0.3191666666666667,0.0005827569984830916,0.5997611284255981,0.046,0.0
44000,0.30333333333333334,0.00048441096441820264,0.5968783497810364,0.086,0.0
45000,0.2875,0.0004622566921170801,0.60650634765625,0.128,0.0
46000,0.2716666666666667,0.0002171258529415354,0.6054692268371582,0.087,0.0
47000,0.25583333333333336,0.0008130585192702711,0.6126395463943481,0.087,0.0
48000,0.24,0.0004129141743760556,0.613763153553009,0.106,0.0
49000,0.22416666666666663,0.0006174922455102205,0.6147447228431702,0.046,0.0
50000,0.20833333333333337,0.0002088540350086987,0.613300085067749,0.036,0.0
51000,0.1925,0.0006557631422765553,0.6116284132003784,0.149,0.0
52000,0.17666666666666664,0.00024200102780014277,0.6180940866470337,0.135,0.0
53000,0.16083333333333338,0.00014897779328748584,0.620597779750824,0.079,0.0
54000,0.14500000000000002,0.0002191346575273201,0.6180456876754761,0.219,0.0
55000,0.12916666666666665,0.00035806637606583536,0.6228592991828918,0.141,0.0
56000,0.1133333333333334,0.0007482650107704103,0.6197615265846252,0.232,0.0
57000,0.09750000000000003,0.0012806375743821263,0.6228528022766113,0.366,0.0
