global_step,episodic_return,episodic_length,goal_reached,epsilon
114,0.595703125,115,1,0.998195
229,0.595703125,115,1,0.9963741666666667
485,0.0,256,0,0.9923208333333333
741,0.0,256,0,0.9882675
876,0.525390625,135,1,0.98613
1132,0.0,256,0,0.9820766666666667
1381,0.12460937500000002,249,1,0.9781341666666666
1439,0.79609375,58,1,0.9772158333333333
1595,0.4515625,156,1,0.9747458333333333
1794,0.300390625,199,1,0.971595
1934,0.5078125,140,1,0.9693783333333333
2190,0.0,256,0,0.965325
2446,0.0,256,0,0.9612716666666666
2702,0.0,256,0,0.9572183333333333
2958,0.0,256,0,0.953165
3214,0.0,256,0,0.9491116666666667
3470,0.0,256,0,0.9450583333333333
3658,0.33906249999999993,188,1,0.9420816666666667
3914,0.0,256,0,0.9380283333333334
4010,0.6625,96,1,0.9365083333333333
4266,0.0,256,0,0.932455
4522,0.0,256,0,0.9284016666666667
4689,0.41289062499999996,167,1,0.9257575
4945,0.0,256,0,0.9217041666666667
5012,0.764453125,67,1,0.9206433333333334
5139,0.553515625,127,1,0.9186325
5332,0.32148437499999993,193,1,0.9155766666666667
5588,0.0,256,0,0.9115233333333334
5844,0.0,256,0,0.90747
6100,0.0,256,0,0.9034166666666666
6243,0.49726562499999993,143,1,0.9011525
6295,0.8171875,52,1,0.9003291666666666
6551,0.0,256,0,0.8962758333333334
6678,0.553515625,127,1,0.894265
6888,0.26171875,210,1,0.89094
6992,0.6343749999999999,104,1,0.8892933333333334
7222,0.19140625,230,1,0.8856516666666667
7433,0.258203125,211,1,0.8823108333333334
7572,0.5113281249999999,139,1,0.88011
7750,0.37421874999999993,178,1,0.8772916666666667
8006,0.0,256,0,0.8732383333333333
8262,0.0,256,0,0.869185
8485,0.21601562499999993,223,1,0.8656541666666666
8741,0.0,256,0,0.8616008333333334
8997,0.0,256,0,0.8575475
9178,0.363671875,181,1,0.8546816666666667
9251,0.743359375,73,1,0.8535258333333333
9507,0.0,256,0,0.8494725
9763,0.0,256,0,0.8454191666666666
10019,0.0,256,0,0.8413658333333334
10107,0.690625,88,1,0.8399725
10192,0.701171875,85,1,0.8386266666666666
10294,0.64140625,102,1,0.8370116666666667
10496,0.28984374999999996,202,1,0.8338133333333333
10624,0.55,128,1,0.8317866666666667
10795,0.398828125,171,1,0.8290791666666667
10981,0.34609375,186,1,0.8261341666666666
11061,0.71875,80,1,0.8248675
11232,0.398828125,171,1,0.82216
11488,0.0,256,0,0.8181066666666666
11684,0.3109375,196,1,0.8150033333333333
11793,0.6167968749999999,109,1,0.8132775
12049,0.0,256,0,0.8092241666666666
12305,0.0,256,0,0.8051708333333334
12561,0.0,256,0,0.8011175
12817,0.0,256,0,0.7970641666666667
13073,0.0,256,0,0.7930108333333333
13239,0.41640625,166,1,0.7903825
13495,0.0,256,0,0.7863291666666666
13751,0.0,256,0,0.7822758333333333
13840,0.6871093749999999,89,1,0.7808666666666667
13951,0.609765625,111,1,0.7791091666666666
14207,0.0,256,0,0.7750558333333333
14463,0.0,256,0,0.7710025
14601,0.51484375,138,1,0.7688175
14857,0.0,256,0,0.7647641666666667
15095,0.16328124999999993,238,1,0.7609958333333333
15259,0.4234375,164,1,0.7583991666666667
15329,0.75390625,70,1,0.7572908333333334
15478,0.476171875,149,1,0.7549316666666667
15559,0.715234375,81,1,0.7536491666666667
15815,0.0,256,0,0.7495958333333334
15863,0.83125,48,1,0.7488358333333334
16010,0.48320312499999996,147,1,0.7465083333333333
16266,0.0,256,0,0.7424550000000001
16451,0.349609375,185,1,0.7395258333333333
16526,0.736328125,75,1,0.7383383333333333
16642,0.5921875,116,1,0.7365016666666666
16683,0.855859375,41,1,0.7358525
16939,0.0,256,0,0.7317991666666667
17195,0.0,256,0,0.7277458333333333
